sbytes,dbytes,sload,dload,rate,attack_cat
496,0,1.8036363e+08,0.0,90909.09,Normal
1762,0,8.81e+08,0.0,125000.0,Normal
1068,0,8.544e+08,0.0,200000.0,Normal
900,0,6e+08,0.0,166666.66,Normal
2126,0,8.504e+08,0.0,100000.0,Normal
784,0,1.0453333e+09,0.0,333333.3,Normal
1960,0,1.3066666e+09,0.0,166666.66,Normal
1384,0,1.9771429e+08,0.0,35714.285,Normal
46,0,0.0,0.0,0.0,Normal
46,0,0.0,0.0,0.0,Normal
46,0,0.0,0.0,0.0,Normal
46,0,0.0,0.0,0.0,Normal
1454,0,1.454e+09,0.0,250000.0,Normal
2062,0,1.1782857e+09,0.0,142857.14,Normal
2040,0,7.418182e+08,0.0,90909.09,Normal
1052,0,1.052e+09,0.0,250000.0,Normal
314,0,4.1866666e+08,0.0,333333.3,Normal
1774,0,7.096e+08,0.0,100000.0,Normal
1568,0,3.136e+09,0.0,500000.0,Normal
2054,0,2.054e+09,0.0,250000.0,Normal
2170,0,8.68e+08,0.0,100000.0,Normal
202,0,8.977778e+07,0.0,111111.11,Normal
1334,0,5.336e+08,0.0,100000.0,Normal
2058,0,1.6464e+09,0.0,200000.0,Normal
286,0,3.813333e+08,0.0,333333.3,Normal
1500,0,8.5714285e+08,0.0,142857.14,Normal
902,0,6.013333e+08,0.0,166666.66,Normal
1626,0,3.252e+09,0.0,500000.0,Normal
364,0,2.08e+08,0.0,142857.14,Normal
530,268,2660.78,1249.5067,10.459041,Normal
730,0,4.1714285e+08,0.0,142857.14,Normal
530,354,1983.0723,1288.7891,8.834441,Normal
7954,354,21302.346,894.0871,7.570899,Normal
794,0,3.176e+08,0.0,100000.0,Normal
2516,354,12368.254,1692.7854,11.60377,Normal
816,1172,5976.375,8342.531,17.278635,Normal
534,268,5387.9824,2509.1643,21.00305,Normal
92,0,6.133776,0.0,0.016668,Normal
92,0,6.133775,0.0,0.016668,Normal
92,0,6.133776,0.0,0.016668,Normal
826,1266,3876.8828,5940.3853,12.375802,Normal
92,0,6.133775,0.0,0.016668,Normal
534,268,5081.243,2366.317,19.80734,Normal
534,354,5067.7856,3266.1404,22.388865,Normal
2516,354,14002.701,1916.4845,13.137192,Normal
830,1134,5641.1475,7498.8745,16.047441,Normal
534,268,6166.1924,2871.574,24.036613,Normal
2516,354,15223.155,2083.5225,14.28221,Normal
534,268,3850.0327,1792.9467,15.007924,Normal
804,1414,5847.268,10281.178,19.181301,Normal
534,268,5869.2715,2733.2988,22.879175,Normal
2516,354,22365.758,3061.0972,20.983328,Normal
990,0,509.20868,0.0,1.414469,Normal
990,0,509.20868,0.0,1.414469,Normal
990,0,509.20868,0.0,1.414469,Normal
534,268,2421.972,1127.9038,9.441159,Normal
2516,354,15737.731,2153.95,14.76498,Normal
900,0,476.47995,0.0,1.323555,Normal
900,0,476.47995,0.0,1.323555,Normal
900,0,476.47995,0.0,1.323555,Normal
900,0,440.37125,0.0,1.223253,Normal
900,0,438.7153,0.0,1.218654,Normal
900,0,440.37125,0.0,1.223253,Normal
900,0,440.37125,0.0,1.223253,Normal
900,0,438.7153,0.0,1.218654,Normal
900,0,438.7153,0.0,1.218654,Normal
2516,354,16863.752,2308.0632,15.821401,Normal
810,0,382.986,0.0,1.06385,Normal
810,0,401.93466,0.0,1.116485,Normal
810,0,382.986,0.0,1.06385,Normal
810,0,401.93466,0.0,1.116485,Normal
810,0,382.986,0.0,1.06385,Normal
898,1120,5057.084,6014.4927,14.575939,Normal
810,0,401.93466,0.0,1.116485,Normal
720,0,351.22937,0.0,0.975637,Normal
720,0,351.22937,0.0,0.975637,Normal
720,0,351.22937,0.0,0.975637,Normal
534,268,6607.2676,3076.9812,25.755981,Normal
630,0,284.53217,0.0,0.790367,Normal
630,0,279.1245,0.0,0.775346,Normal
630,0,279.1245,0.0,0.775346,Normal
630,0,303.84106,0.0,0.844003,Normal
630,0,284.53217,0.0,0.790367,Normal
2516,354,7357.5566,1006.9945,6.902785,Normal
534,354,3674.6697,2368.2903,16.234247,Normal
630,0,279.1245,0.0,0.775346,Normal
630,0,284.53217,0.0,0.790367,Normal
630,0,303.84106,0.0,0.844003,Normal
630,0,303.84106,0.0,0.844003,Normal
896,1142,2720.2825,3402.0076,8.687033,Normal
540,0,246.81766,0.0,0.685605,Normal
540,0,242.16367,0.0,0.672677,Normal
540,0,246.81766,0.0,0.685605,Normal
540,0,242.16367,0.0,0.672677,Normal
540,0,242.16367,0.0,0.672677,Normal
540,0,246.81766,0.0,0.685605,Normal
534,268,5790.716,2696.7158,22.572956,Normal
534,268,4473.337,2083.217,17.437643,Normal
450,0,214.5334,0.0,0.595926,Normal
810,1228,2946.2805,4469.94,9.59865,Normal
450,0,214.5334,0.0,0.595926,Normal
2516,354,10276.624,1406.5137,9.641424,Normal
534,268,5904.992,2749.934,23.018421,Normal
450,0,206.57501,0.0,0.573819,Normal
450,0,206.57501,0.0,0.573819,Normal
360,0,167.89998,0.0,0.466389,Normal
360,0,167.89998,0.0,0.466389,Normal
534,354,3319.101,2139.1296,14.663388,Normal
360,0,156.21317,0.0,0.433925,Normal
360,0,156.21317,0.0,0.433925,Normal
534,268,5363.1636,2497.6062,20.906303,Normal
270,0,109.165855,0.0,0.303238,Normal
2516,354,20712.5,2834.8235,19.432259,Normal
270,0,107.141655,0.0,0.297616,Normal
270,0,109.165855,0.0,0.303238,Normal
270,0,107.141655,0.0,0.297616,Normal
814,1266,3811.247,5927.451,12.348856,Normal
270,0,111.54493,0.0,0.309847,Normal
270,0,111.54493,0.0,0.309847,Normal
180,0,62.526024,0.0,0.173683,Normal
180,0,62.543964,0.0,0.173733,Normal
180,0,62.543964,0.0,0.173733,Normal
534,268,4427.029,2061.6516,17.25713,Normal
180,0,56.31802,0.0,0.156439,Normal
180,0,62.526024,0.0,0.173683,Normal
180,0,64.71905,0.0,0.179775,Normal
180,0,56.31802,0.0,0.156439,Normal
2516,268,22184.65,2193.9785,18.364777,Normal
180,0,64.71905,0.0,0.179775,Normal
534,268,5308.3403,2472.0752,20.692595,Normal
876,1182,3952.5325,5094.485,11.690243,Normal
2516,354,10418.931,1425.9906,9.774935,Normal
534,268,4343.9243,2022.9501,16.933176,Normal
534,354,3262.441,2102.6125,14.413071,Normal
2516,354,13738.252,1880.2906,12.889089,Normal
824,1206,5660.6924,8056.1875,16.211552,Normal
822,1378,3964.1619,6648.007,12.722817,Normal
822,1378,3964.1619,6648.007,12.722817,Normal
534,354,5849.42,3769.8965,25.842031,Normal
822,1378,3964.1619,6648.007,12.722817,Normal
2516,354,12492.976,1709.8555,11.720783,Normal
534,354,2653.4636,1710.1324,11.722682,Normal
534,354,2954.8428,1904.3685,13.054139,Normal
816,1294,4861.674,7494.2534,14.055859,Normal
2516,268,28363.953,2805.0886,23.480095,Normal
810,1138,4262.058,5992.6055,13.885306,Normal
810,1138,4262.058,5992.6055,13.885306,Normal
2516,354,18799.139,2572.9504,17.63716,Normal
534,354,4442.448,2863.1165,19.626202,Normal
800,1246,7989.292,12105.996,23.579508,Normal
